编号,专业名称,是什么,学什么,干什么
11,投资学,投资学主要研究金融学、经济学、投资学、管理学、法学等方面的基本知识和技能，涉及金融投资、风险投资、国际投资、政府投资、企业投资、投资宏观调控等，进行个人或企业的投资项目的规划、分析与管理等。常见的投资品种有：股票、债券、保险、基金、银行理财产品等。 关键词：股票 国债 保险 基金,《风险投资学》、《公司金融学》、《财务报表与分析》、《汇率与国际收支》、《融资学》、《项目管理原理》、《产业经济分析》、《金融风险管埋》、《金融理财原理与实务》、《公共投融资管理》 部分高校按以下专业方向培养：典当、期货、信用。,证券、投资类企业：投资分析、投资管理、投资理财； 商业类企业：投资规划、效益分析、风险管理、融资规划。
12,国际经济与贸易,国际经济与贸易主要研究经济学原理、国际经济、国际贸易等方面的基本知识和技能，了解中国对外贸易和当代国际经济贸易的环境和发展现状，熟悉国际贸易规则、法律与惯例以及中国对外贸易的政策法规，进行进出口业务以及对外经济和贸易活动等。例如：从国外进口电子设备、仪器，向国外出口零件、服装等。该专业对外语有一定的要求。 关键词：跨国 进出口 WTO 外语,《国际贸易学》、《税收学》、《贸易经济学》、《国际商务交际与谈判》、《采购与供应管理》、《外贸单证与函电》、《公司金融学》、《外贸口译》、《外贸单证制作与审核》、《国际知识产权贸易》 部分高校按以下专业方向培养：CITF、海关业务、跨境电商、贸易经济、外贸会计、保税港区经济、跨境网络贸易、国际商务与报关、跨国公司经营与管理、商品质量检验与管理。,涉外贸易类企业：对外贸易、贸易经济、市场营销、涉外谈判、进出口业务； 政府、事业类单位：外贸管理。
13,贸易经济,贸易经济主要研究经济、管理、财会、金融、数学、营销、法律等方面的基本知识和技能，以国内贸易、营销为主，注重内贸与外贸、营销与管理相结合，进行商品贸易、市场营销、贸易管理等。例如：汽车、房屋等商品的买卖交易，股票的买入卖出，政府对商品流通过程的监督管理等。 关键词：国内 商品 期货 销售,《贸易经济学》、《财务管理概论》、《成本管理学》、《组织行为学概论》、《宏观经济学概论》、《期货市场运作》、《消费经济》、《电子商务与网络贸易》、《服务贸易概论》、《商品市场管理》,商贸类企业：市场调研、市场营销、市场公关、商务谈判、商品贸易； 证券类企业：证券交易； 政府、事业类单位：贸易管理、市场管理。
14,法学,法学主要研究法律、法律现象、法律相关问题等方面的基本理论和知识，涉及宪法、刑法、民商法、经济法、诉讼法等，进行诉讼、法务的处理等。例如：离婚、遗产纠纷等民事诉讼的辩护，谋杀、盗窃等刑事案件的检控，企业合同的拟定、审查、修改，劳务纠纷的协调处理等。 关键词：律师 宪法 法院 检察院,《中国法律史》、《中国宪法学》、《劳动和社会保障法》、《比较刑法》、《公司法与企业法》、《婚姻和继承法》、《比较民商法》、《国际刑法学》、《民法学总论》、《物权法与债法》 部分高校按以下专业方向培养：检察、经济法、民商法、法务会计、法务金融、律师实务、刑事司法、行政法务、国际经济法、医事法律实务。,律师事务所：律师； 各类企事业单位：合同拟定、法律咨询、诉讼处理； 司法机关：检察辅助人员、检察官。
15,政治学与行政学,政治学与行政学以国家及其活动为研究对象，主要研究马克思主义理论、政治学、行政学等方面的基本知识和技能，涉及政治理论、政治制度、公共政策、公共行政和国际政治等，多在政府部门及事业单位从事组织、人事、纪检、监督、宣传、文秘等工作，进行政府形象、政府与公众关系的维护，以及对党员的检查和监督等。 关键词：马克思主义 政治 政府 共产党,《市政学》、《比较政治学》、《西方政治制度比较》、《政府公共关系》、《中外政治文化比较》、《当代中国社会政治分析》、《公共权力与政府问责》、《民主与民主化》、《西方政治制度史》、《政党与政党政治》 部分高校按以下专业方向培养：法治政务、比较政治学。,政府、事业单位：行政管理、组织人事、纪律监察、政府宣传、社会调查、文秘； 各类企业：政策分析。
16,国际政治,国际政治主要研习马克思主义理论、国际政治、国际法、政治学、外交学等方面的基本知识和技能，以国家为主体的国际行为体的跨国互动关系为研究对象，从政治的角度研究影响这种互动关系的一切因素，进而在党政机关、事业单位等进行外交、外事、对外宣传等。例如：外国人的接待，外国人的工作、生活的安排，中国文化向世界各国的宣传等。 关键词：国际 外国人 外交 对外宣传,《近代国际关系史》、《现代国际关系理论》、《当代西方国际关系理论》、《国际安全概论》、《公共外交概论》、《国际关系学》、《国际组织论》、《外交学》、《中国政治概论》、《西方各国政治制度》 部分高校按以下专业方向培养：公共外交、经济外交、国际政治经济。,政府、事业单位：对外宣传、公共外交、外国人接待； 新闻出版类单位：国际版编辑、国际版评论员。
17,外交学,外交学主要研究马克思主义理论、外交学、国际政治、国际公共关系、外语等方面的基本知识，包括外交史、外交技巧、外交礼仪、具体国家的外交政策等，培养对外交际和谈判的能力，在政府部门、事业单位等进行外交外事、对外宣传、国际新闻采编等。例如：外国大使的接待，中国文化的对外弘扬，国际事件的公关处理等。 关键词：外交官 大使馆 外交礼仪 外语,《交流语言学》、《交流中的媒体应对》、《领事与侨务》、《外交外事调研》、《比较政治与经济》、《大国关系研究》、《当代西方国家政治制度》、《东方外交史》、《国际公共关系学》、《国际危机管理》,政府、事业类单位：外事外交、对外宣传、政策研究、国际公关、国际新闻采编。
18,社会学,社会学主要研究理论社会学、应用社会学等方面的基本知识，接受社会研究、社会调查、语言表达的技能训练，对于社会现象和问题进行调查、研究、分析、解决等。常见的社会热点问题有青少年犯罪问题、社会人士失业问题等。 关键词：社会 青少年 妇女 失业,《社会心理学》、《社会人类学》、《社会统计学》、《社会分层与社会流动》、《国外社会学》、《社会调查研究方法》、《社会结构与分层》、《当代西方社会学》、《消费社会学》、《社会变迁与中国现代化》 部分高校按以下专业方向培养：法律、民俗、司法社会工作。,政府、事业单位：社会研究、社会调查、社会发展预测、社会管理； 各类企业：行政管理、人力资源管理、市场调查。
19,社会工作,社会工作主要研究社会学、心理学、社会工作等方面的基本知识和技能，以助人为宗旨，对社会上的贫困者、老弱者、身心残障者和其他弱势人群进行救助和服务等。例如：对于孤寡老人的陪护，对于家庭矛盾的调解处理，对于青少年的心理疏导，对于贫困者的救助关怀等。 关键词：社工 妇联 福利院 慈善机构,《社会人类学》、《个案社会工作》、《青年社会工作》、《人格心理学》、《普通心理学》、《儿童青少年社会工作》、《家庭社会工作》、《社会研究方法》、《矫正社会工作》、《社现代社会福利思想》 部分高校按以下专业方向培养：医学、社会福利、社区管理、海洋社会工作、矫正社会工作、企业社会工作、社会养老服务与管理。,妇联、慈善等机构：社会救助、社会服务、社会矫治、心理疏导、残障康复、优抚安置。
20,民族学,民族学以民族为研究对象，主要研习民族学、社会学、历史学等方面的基本理论和知识，通过实地调查、资料分析和比较研究，研究各民族的社会经济结构、政治制度、风俗习惯、宗教信仰、语言文字、思想意识等，进行民族问题和民族事务的处理和解决以及宗教活动的管理等。 关键词：少数民族 宗教 民俗 文化,《人类学》、《民族学》、《中国民族概论》、《民族学调查方法》、《民族考古学》、《民族经济学》、《族群与家族》、《民族理论与政策》、《民俗学》、《宗教文化学》,政府、事业类单位：民族文化管理、民族事务管理、宗教管理； 深造：保研或者考研，继续民族学方面的学习深造，进行民族理论和民族政策的研究和教学。
22,中国共产党历史,中国共产党历史主要研究中国革命史、中国共产党历史、马克思主义基本原理等方面的基本理论和知识，全面理解中国共产党领导下的中国人民进行新民主主义革命、社会主义革命和建设的历程和经验，了解党的建设理论和党的纲领、路线、方针、政策等，能够运用马克思主义的立场、观点和方法进行党的建设中有关问题的分析和研究。 关键词：共产党 革命 历史 党史,《马克思主义哲学原理》、《科学社会主义理论与实践》、《中国近代史》、《中共党史》、《中国近现代政治思想史》、《政党学》、《当代中国政府与政治》、《当代中国社会思潮》、《当代中国社会问题》、《世界近现代史》,政府、事业单位：党史研究、理论宣传、党务工作； 深造：保研或者考研，继续中国共产党历史方面的学习深造，进行中国共产党历史方面的研究和教学。
23,思想政治教育,思想政治教育主要研究马克思主义、毛泽东思想、邓小平理论、思想政治教育等方面的基本理论和知识，了解人的思想品德的形成、发展、变化的规律，以及向人们进行思想政治教育的规律，多在中小学校进行思想品德的教学等。 关键词：马克思主义 政治 思想品德 教育,《政治学理论》、《马克思主义哲学》、《马克思主义政治经济学概论》、《科学社会主义概论》、《马克思主义中国化研究》、《中国政治思想史》、《西方政治思想史》、《中国革命史》、《中华人民共和国史》、《国际共产主义运动史》、《思想政治教育原理》 部分高校按以下专业方向培养：法制教育、青年社会心理、心理健康教育。,中小学校：思想政治教学、学生辅导员、少先队辅导员。
24,治安学,治安学主要研究治安学、行政法学、行政管理学、安全防范技术、侦查学等方面的基本知识和技能，接受公安行政执法和犯罪预防等方面的基本训练，在公安、国家安全、边防、行政执法机关等部门进行治安管理、预防和控制犯罪、安全保卫等。例如：盗窃、斗殴等治安案件的查处与处理，爆炸、中毒、高空坠落等治安灾害事故的预防和处理，铁道、公路等道路交通的管理等。 关键词：警察 派出所 治安 犯罪,《法理学》、《宪法学》、《警察法学》、《公安基础理论》、《治安管理学总论》、《刑事侦查学》、《犯罪学》、《犯罪心理学》、《治安秩序管理》、《治安案件查处》 部分高校按以下专业方向培养：特警、公安法制、铁路警卫、铁路警务、公安舆情管理、海上治安管理、城轨安全与执法。,公安、检察等司法机关：案件侦查、刑事执法、预防犯罪、控制犯罪。
25,侦查学,侦查学主要研究公安学、侦查学、犯罪学等方面的基本知识和技能，包括侦查活动及其规律、侦查制度和侦查理论、犯罪活动的规律及特点等，接受刑事执法、侦查破案、擒拿格斗的基本训练，在公安、检察、海关、国家安全等部门进行侦查、稽查、执法等。例如：刑事案件的侦查侦破，走私品、违禁品的稽查，毒品的缉查等。 关键词：警察 公安局 海关 刑事,《公安基础理论》、《犯罪学》、《公安管理学》、《刑事诉讼法》、《刑事侦查学》、《物证技术学》、《侦查讯问学》、《现场勘查学》、《刑法》、《自卫擒敌》 部分高校按以下专业方向培养：反恐怖、公安情报、技术侦察、视频侦查、铁路反恐、维吾尔语、狱内侦查、预审监管、网络犯罪侦查。,公安、海关、检察等机关：案件侦查、刑事执法、走私稽查、预防犯罪； 党政机关：纪检监察、治安保卫、行政执法。
26,边防管理,边防管理主要研究法律、公安边防业务、部队管理等方面的基本知识和技能，接受边境管理、边防勤务与战术、护照证件及交通运输工具检查等方面的基本训练，进行边境管理、出入境边防检查、边境突发事件的处理等。例如：对出入国境人员护照、证件、签证和携带物品的检查，对敌人和罪犯潜入、潜出国境的防范与打击等。 关键词：解放军 武警 国境 边防,《国际法》、《刑法》、《边防公安法规》、《治安管理学》、《刑事侦查学》、《边境管理学》、《边防勤务学》、《边防战术学》、《边防情报学》、《边防检查学》、《护照鉴证制度》,边防、武警部队：出入境管理、出入境边防检查。
27,教育学,教育学主要研究教育学、心理学等方面的基本理论和知识，包括教育现象、教育问题、教育规律、教育方法、学生心理状态等，培养良好的人文素养和教师职业素养，进行教育教学、教育研究和教育管理等。例如：对于高效教学方法的研发、对于不同年龄段学生心理状态的研究等。 关键词：学校 教育 教师 班主任,《教育心理学》、《教育研究方法》、《比较教育学》、《德育原理》、《教育哲学》、《西方教育思潮》、《中国教育史》、《国际课程流派》、《教育实验学》、《教育统计与测量》 部分高校按以下专业方向培养：小教、卫生教育、学前英语、教学与管理、小学教育理科、小学教育文科、心理健康教育、职业技术教育。,中小学校、教育机构：教育教学、教育研究。
29,人文教育,人文教育主要研究教育学、人文社会科学等方面的基本知识和技能，涵盖历史学、社会学、政治学、地理学、汉语言文学等，培养教学研究、社会实践、社会调查的能力，以提高学生的人文素质为目标，在中学进行语文、历史、政治、人文与社会等学科的教学与研究等。 关键词：中学 教师 文科 人文素质,《中外文化史》、《文学概论》、《社会学研究》、《美学原理》、《管理学通论》、《科学研究方法》、《现代汉语》、《中外名著选读》、《自然与人文》、《科学与人文》,中小学校：综合文科教学、历史与社会教学、地理教学； 各类企事业单位：文职工作。
30,教育技术学,教育技术学主要研究教育学、教育技术、信息技术、多媒体技术等方面的基本知识和技能，在新技术教育领域进行教学媒体和教学系统的设计、开发、运用、管理和评价等。例如：学校教室电教设备的操作与管理，教学课件ppt的设计制作，校园网的维护与管理等。 关键词：学校 幻灯片 电教设备 校园网,《中外文化史》、《文学概论》、《社会学研究》、《美学原理》、《管理学通论》、《科学研究方法》、《现代汉语》、《中外名著选读》、《自然与人文》、《科学与人文》 部分高校按以下专业方向培养：数字媒体技术、数字媒体设计、信息技术教育、网络与数字媒体、教育电视节目制作、教育软件与知识工程。,中小学校：电教管理、课件制作、信息技术教学、校园网管理； 广播站、电视台：教育节目制作。
31,艺术教育,艺术教育主要研究教育学、人文学、心理学、音乐、美术、舞蹈、戏剧等方面的基本知识和技能，培养审美修养和艺术鉴赏能力，在学前教育、基础教育类机构进行儿童综合艺术的教育教学等。例如：儿童唱歌、舞蹈、乐器、绘画的教学等。 关键词：音乐 美术 舞蹈 儿童,《艺术概论》、《学前教育概论》、《中外音乐史》、《中外美术史》、《艺术欣赏》、《中外文学名篇欣赏》、《声乐基础》、《舞蹈》、《素描》、《美术创作》 部分高校按以下专业方向培养：美术教育。,中小学校、教育机构：艺术教学； 文化单位、业余艺术学校：艺术训练。
32,学前教育,学前教育主要研究学前教育学、学前儿童保育学、学前儿童发展科学、学前儿童心理学等方面的基本知识和技能，观察、分析3-6岁幼儿的身心活动，在幼儿园、托儿所等学前教育学校和机构进行学龄前儿童的教育教学、品行培养、智力开发等。 关键词：幼儿园 6岁 儿童 教育,《普通心理学》、《教育社会学》、《儿童文学》、《幼儿园课程》、《学前儿童语言教育》、《学前儿童科学教育》、《学前教育学》、《幼儿心理健康教育》、《幼儿心理学》、《幼儿保健学》 部分高校按以下专业方向培养：教育管理、美术教育、音乐教育、少儿推拿保健、幼儿园艺体教育。,幼儿园：学前教学； 幼儿教育机构：儿童教学、智力开发。
33,小学教育,小学教育主要研究教育学、心理学、文学、小学课程教学等方面的基本知识和技能，分析6-12岁儿童的身体和心理活动，培养良好的人文素养、心理素质和教师职业道德，在小学进行语文、数学、英语、品德等学科的教育教学、儿童的启蒙教育以及心理辅导等。 关键词：老师 小学 6-12岁 启蒙教育,《教育学》、《心理学》、《教育社会学》、《教育哲学》、《心理卫生与心理辅导》、《现代汉语基础》、《基础写作》、《儿童文学》、《小学语文课程教学》、《小学数学课程教学》 部分高校按以下专业方向培养：理科、美术、文科、音乐、全科教育、数学教育、英语教育、语文教育、数学与科学、中文与社会。,小学：小学教学、心理辅导。
35,体育教育,体育教育主要研究教育学、心理学、人体科学、体育学等方面的基本知识和技能，接受田径、足球、篮球、排球、羽毛球、乒乓球、武术、体操等体育项目的训练，在中小学校进行体育教学和课外体育活动管理，亦或在健身房、运动俱乐部等进行健身指导和运动训练等。 关键词：足球 篮球 排球 羽毛球,《教育学原理》、《运动解剖学》、《运动生理学》、《体育心理学》、《体育保健学》、《体育概论》、《学校体育学》、《体育科研方法》、《体育统计学》、《田径》 部分高校按以下专业方向培养：足球、高尔夫、健美操、旅游体育、社会体育、特殊体育、体育保健、体育表演、体育经营与管理。,中小学校：体育教学； 体育、健身类企业：体育运动训练、健身指导。
36,运动训练,运动训练以竞技体育为核心，主要研究运动技术学、运动人体学、心理学等方面的基本知识和技能，接受身体机能、技能技术、策略战术、心理和智力等方面的训练，了解体育竞赛的比赛规则、方针、政策和法规，进行体育竞赛运动员的训练和管理，以及体育赛事的裁决判定等。 关键词：运动员 体育竞赛 训练 裁判,《运动训练学》、《运动解剖学》、《运动技术分析与诊断》、《运动选材学》、《运动营养与恢复》、《运动损伤与治疗》、《运动训练管理学》、《运动心理学》、《运动生理学》、《运动生物力学》,体校、俱乐部：运动训练、运动教练； 体育管理类单位：赛事裁判、赛事管理。
37,社会体育指导与管理,社会体育指导与管理主要研究运动学、社会体育等方面的基本知识和技能，能够在社会体育（群众自愿参加的以增进身体健康、丰富文化生活为主要目的的群众性体育活动）领域内进行组织管理、咨询指导、经营营销等。例如：健身俱乐部体能训练的指导，长跑、太极、广场舞等社会体育活动的组织，球拍、护具等体育用品的销售等。 关键词：健身 长跑 太极 广场舞,《运动生理学》、《运动心理学》、《运动保健》、《社会体育概论》、《社会体育管理》、《体育健身概论》、《体育保健学》、《体育市场营销》、《体育专项技术》、《休闲体育》 部分高校按以下专业方向培养：户外运动、休闲体育、高尔夫运动与管理、体育旅游与运动康复。,健身房、俱乐部：健身教练、健身指导。
38,武术与民族传统体育,武术与民族传统体育主要研究民族传统体育教学、训练、科研以及传统体育养生等方面的基本知识和技能，接受武术、摔跤、射箭、散打、太极等民族民间体育项目的训练，在武术馆、武术学校进行武术教学与指导，亦或在相关部门进行民族传统体育的推广、管理等。 关键词：武术 太极 射箭 少林寺,《民族传统体育概论》、《中国武术史》、《中国文化概论》、《武术理论基础》、《传统养生学》、《中医学基础》、《运动生理学》、《运动解剖学》、《运动心理学》、《专项理论与实践》 部分高校按以下专业方向培养：防卫体育。,武术馆（学校）：武术教练、武术指导。
39,运动人体科学,运动人体科学将理论与运动实践相结合，主要研究体育运动与人的机体的相互关系及其规律，涉及运动学、生物学、养生学、医学等学科，在运动训练基地、运动保健康复中心等进行运动健身与营养指导、运动员身体机能诊断与评价、运动损伤康复治疗以及保健推拿等。 关键词：运动员 运动损伤 推拿 生物,《人体解剖与运动解剖学》、《人体生理与运动生理学》、《生物化学与运动生物化学》、《运动生物力学》、《运动保健学》、《运动康复学》、《医务监督》、《临床医学基础》、《中医养生康复学》、《田径》 部分高校按以下专业方向培养：健康管理。,体育、健身类企业：体育保健、运动指导、健身技能咨询、运动伤害防护、健身器材销售。
40,汉语言文学,汉语言文学主要研究汉语和中国文学等方面的基本理论和知识，包括其相关理论、发展历史和研究现状等，涉及诗词歌赋、现当代文学、民间文学等多个领域，在报刊宣传、新闻出版行业进行文章编辑与撰写、文学评论等。常见的汉语言文学研究内容有：婉约派、豪放派等文学流派，杜甫、李白等古代诗人，鲁迅、朱自清等现当代作家等。相较于汉语言，汉语言文学侧重于研究文学的修养与内涵，汉语言侧重于语言研究。 关键词：杜甫 苏轼 将进酒 朝花夕拾,《中国古代文学》、《中国现代文学》、《中国当代文学》、《外国文学》、《比较文学》、《民间文学》、《儿童文学》、《影视文学》、《古代汉语》、《现代汉语》 部分高校按以下专业方向培养：编辑、文秘、播音主持、财经文秘、创意写作、高级文秘、高级文员、企业秘书、商务文秘、新闻传播。,新闻出版类企事业：文学评论、文章编辑、新闻传播； 政府、事业单位：文化宣传； 中小学校、教育机构：语文教学。
41,汉语言,汉语言侧重于汉语和对外汉语两方面，主要研究汉语及语言学、中国文学等方面的基本理论和知识，受到社会调查、文字处理、语言教学的技能训练，在中小学校、教育机构进行汉语教学，亦或在媒体、新闻、出版行业进行语言文字管理、文章编辑等。相较于汉语言文学，汉语言侧重于语言研究，汉语言文学侧重于研究文学的修养与内涵。 关键词：汉语 语言 方言 口语,《语言学概论》、《现代汉语》、《古代汉语》、《文学概论》、《中国文学史》、《中国语言学史》、《计算语言学》、《汉语史》、《音韵学》、《汉语方言调查》 部分高校按以下专业方向培养：应用语言学。,中小学校、教育机构：语文教学； 媒体类企事业：文字撰稿、文章编辑； 各类企事业单位：文案策划。
42,汉语国际教育,汉语国际教育主要研究汉语及语言学、国际文学、中国文化、跨文化交际等方面的基本理论和知识，培养汉语作为第二语言的教学技能、文化传播技能以及跨文化交际能力，在海内外进行汉语教学和语言文化传播等，多服务于海外教育机构、外贸机构、新闻出版单位等。 关键词：汉语 文化 海外 教育,《基础英语》、《英语写作》、《英汉翻译》、《现代汉语》、《古代汉语》、《西方文化与礼仪》、《国外汉学研究》、《中国文学》、《外国文学》、《对外汉语教学概论》 部分高校按以下专业方向培养：汉英双语、商务汉语。,海外教育机构：对外汉语教学； 中小学、教育机构：语文教学； 媒体、出版类企事业单位：新媒体编辑。
43,中国少数民族语言文学,中国少数民族语言文学主要研究少数民族的语言、文字、文献、文学以及文学史等方面的基本理论和知识，分为蒙古语、满语、维吾尔语、朝鲜语、哈萨克语、彝语等多个方向，进行少数民族语言文学的教学、科研、编辑、翻译、创作等。 关键词：少数民族 满语 蒙古语 维吾尔语,《语言学概论》、《有关民族语言史》、《古代汉语》、《有关民族现代语言》、《现代汉语》、《汉语一民族语语法对比》、《文学概论》、《有关民族文学史》、《中国文学史》、《有关民族历史》 部分高校按以下专业方向培养：满语、藏语言文学。,少数民族教育文化单位：少数民族语言文字和文学的教学、研究、编辑、翻译、创作。
44,古典文献学,古典文献学主要研究古籍整理、中国古典文献学方面的基本理论和知识，涉及中国古代文学典籍的研究、考辨、编纂、译注及现代化传播等，多在图书馆、出版社、文化单位进行中国古籍的辨伪、校勘、注解等。常见的中国古典文献有：《周易》、《诗经》、《论语》、《说文解字》、《礼记》、《史记》、《资治通鉴》等。 关键词：史记 论语 周易 诗经,《中国古典文献学》、《目录学》、《版本学》、《校勘学》、《文字学》、《音韵学》、《训诂学》、《出土文献概论》、《古代文化概论》、《古文献学史》,出版社、图书馆、文化单位：古典文献的研究、校勘、注解。
